PU_day,avg(total_amount)
2002-12-31,18.55
2003-01-01,4.3
2008-12-31,19.36583333333333
2009-01-01,10.100000000000001
2017-12-31,9.272
2018-01-01,16.21861312234056
2018-01-02,15.360015413975232
2018-01-03,15.331255727471525
2018-01-04,14.373755694761414
2018-01-05,15.142237057398592
2018-01-06,15.035828962793156
2018-01-07,15.573706902861979
2018-01-08,16.22396288355831
2018-01-09,16.115678466075877
2018-01-10,15.814979539484936
2018-01-11,16.32506932161694
2018-01-12,16.159940936187958
2018-01-13,14.584500244843737
2018-01-14,14.557624569667869
2018-01-15,15.516645356189189
2018-01-16,15.881758369722464
2018-01-17,15.332002165118002
2018-01-18,15.61943526904527
2018-01-19,15.68468370091337
2018-01-20,14.763846882025085
2018-01-21,15.504319245546313
2018-01-22,15.54671287530395
2018-01-23,15.31070661841315
2018-01-24,15.555020389921404
2018-01-25,15.801221370034531
2018-01-26,15.84453939488501
2018-01-27,14.378921235831456
2018-01-28,15.567763131747562
2018-01-29,15.95361652892515
2018-01-30,15.097069832728238
2018-01-31,15.314820671036546
2018-02-01,15.776529462273531
2018-02-02,15.11865613409751
2018-02-03,13.795732121985814
2018-02-04,14.660047220982404
2018-02-05,15.67125316914248
2018-02-06,15.39074676421005
2018-02-07,15.094976669348942
2018-02-08,15.98576805798536
2018-02-09,15.621204556711099
2018-02-10,14.66933280839956
2018-02-11,15.316402812134832
2018-02-12,15.868875487762425
2018-02-13,15.223132317562595
2018-02-14,15.574605696673688
2018-02-15,16.120095716303176
2018-02-16,16.050922940006274
2018-02-17,14.169303727464824
2018-02-18,14.74107029598413
2018-02-19,15.778567313098153
2018-02-20,16.217416766694864
2018-02-21,16.109174421924642
2018-02-22,15.861650877465536
2018-02-23,15.92967342693712
2018-02-24,14.687721279585771
2018-02-25,15.451596235114302
2018-02-26,16.066008859496733
2018-02-27,15.875075221736234
2018-02-28,16.327001399957034
2018-03-01,16.262300554486053
2018-03-02,14.701002964989888
2018-03-03,14.779589210154693
2018-03-04,15.720406007043488
2018-03-05,15.790904213556416
2018-03-06,16.259180189926038
2018-03-07,13.496393455835687
2018-03-08,16.187431504873278
2018-03-09,16.57465869669535
2018-03-10,15.009245502997315
2018-03-11,15.978568879126783
2018-03-12,16.439099566530572
2018-03-13,15.276426564027055
2018-03-14,16.14965958406065
